id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
36582,Life: Jinsei no Taisetsu na Toki ni...,Finished Airing,G - All Ages,,0,2022-03-11 20:04:13.421526,f,2013-03-28,
36583,Nishio no Yatsuzou,Finished Airing,G - All Ages,,0,2022-03-11 20:04:13.502524,f,2014-05-01,
36584,Ki de Tsukurou,Finished Airing,G - All Ages,,0,2022-03-11 20:04:13.634525,f,2013-11-27,
36585,Sougou Medical Koushiki,Finished Airing,G - All Ages,,0,2022-03-11 20:04:13.745524,f,2015-04-09,2016-09-23
36586,Kinyoubi no Yakusoku,Finished Airing,G - All Ages,,0,2022-03-11 20:04:13.842524,f,2016-03-23,
36587,Granblue Fantasy The Animation Season 2,Finished Airing,PG-13 - Teens 13 or older,6.74,62,2022-03-11 20:04:14.033525,f,2019-10-05,2019-12-28
36588,Luo Xiao Hei Zhan Ji: Fan Wai,Finished Airing,G - All Ages,6.57,1,2022-03-11 20:04:14.129524,f,2011-07-10,2020-11-21
36591,Kero Kero Keroppi no Bokura no Ohimesama,Finished Airing,G - All Ages,,0,2022-03-11 20:04:14.210524,f,1993-01-01,
36592,High & Low: G-Sword OVA,Finished Airing,G - All Ages,,2,2022-03-11 20:04:14.344525,f,2017-10-17,
36593,Hug tto! Precure,Finished Airing,G - All Ages,7.77,208,2022-03-11 20:04:14.445524,f,2018-02-04,2019-01-27
36594,Brilliant Better,Finished Airing,G - All Ages,5.49,1,2022-03-11 20:04:14.529524,f,2016-09-21,
36595,Fortissimo Bell,Finished Airing,G - All Ages,5.18,0,2022-03-11 20:04:14.650527,f,2017-02-05,
36596,Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigoto ni Kansuru Ichi Kousatsu,Finished Airing,G - All Ages,5.5,0,2022-03-11 20:04:14.78253,f,2017-02-24,
36597,Detarame Rock & Roll Theory,Finished Airing,G - All Ages,5.42,1,2022-03-11 20:04:14.895525,f,2017-02-13,
36598,Heart Beat,Finished Airing,G - All Ages,5.45,1,2022-03-11 20:04:15.018541,f,2016-11-01,
36599,Muteki We Are One!!,Finished Airing,G - All Ages,5.36,4,2022-03-11 20:04:15.143524,f,2016-06-19,
36600,Dokidoki Dream!!!,Finished Airing,G - All Ages,5.47,0,2022-03-11 20:04:15.250164,f,2016-08-16,
36601,Moushin Soloist Life!,Finished Airing,G - All Ages,5.23,0,2022-03-11 20:04:15.378159,f,2016-10-20,
36602,My Dearest Song,Finished Airing,G - All Ages,5.7,1,2022-03-11 20:04:17.066159,f,2016-11-30,
36603,Neko Matsuri,Finished Airing,G - All Ages,6.01,2,2022-03-11 20:04:17.194159,f,2017-02-05,
36604,Bang Babang Bang!!!,Finished Airing,G - All Ages,5.31,131,2022-03-11 20:04:17.335529,f,2017-03-22,
36605,Tic Tac Dreamin',Finished Airing,G - All Ages,5.27,1,2022-03-11 20:04:17.451533,f,2017-04-16,
36606,Trust,Finished Airing,G - All Ages,5.52,3,2022-03-11 20:04:17.549531,f,2017-05-23,
36607,Spicy Swingy Style,Finished Airing,G - All Ages,5.26,5,2022-03-11 20:04:17.686533,f,2017-06-20,
36608,Session High⤴,Finished Airing,G - All Ages,5.77,0,2022-03-11 20:04:17.817528,f,2017-10-16,
36611,Bary-san no Shokoku Manyuuki,Finished Airing,G - All Ages,,0,2022-03-11 20:04:17.917529,f,2016-02-03,2016-03-30
36613,Biju Tune!,Currently Airing,G - All Ages,,0,2022-03-11 20:04:18.048528,t,2013-08-11,
36616,Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,Finished Airing,PG-13 - Teens 13 or older,7.31,83,2022-03-11 20:04:18.180528,f,2018-03-18,
36618,Flowering Heart 2,Finished Airing,G - All Ages,5.95,9,2022-03-11 20:04:18.27453,f,2017-05-29,2017-11-21
36619,Shi Wan Ge Leng Xiaohua Movie 2,Finished Airing,PG-13 - Teens 13 or older,,0,2022-03-11 20:04:18.40053,f,2017-08-18,
36620,Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan,Finished Airing,G - All Ages,,0,2022-03-11 20:04:18.513527,f,2017-10-30,2017-10-31
36621,Toilet no Kuni,Finished Airing,G - All Ages,5.09,0,2022-03-11 20:04:18.614531,f,2015-05-28,
36622,Hamaneko,Finished Airing,G - All Ages,5.45,0,2022-03-11 20:04:18.721543,f,2014-11-27,
36623,SNS Police,Finished Airing,G - All Ages,,1,2022-03-11 20:04:18.85053,f,2018-03-24,2018-05-21
36624,4 Shuunen Monst? Shiru ka yo!,Finished Airing,G - All Ages,4.96,0,2022-03-11 20:04:18.962531,f,2017-10-01,
36625,Ajin 2nd Season OVA,Finished Airing,R - 17+ (violence & profanity),7.04,6,2022-03-11 20:04:19.132531,f,2017-04-07,
36626,Yakiniku-ten Sengoku,Finished Airing,PG-13 - Teens 13 or older,,0,2022-03-11 20:04:19.28353,f,2017-12-17,2018-02-25
36629,"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki",Finished Airing,PG-13 - Teens 13 or older,6.29,2,2022-03-11 20:04:19.40645,f,2016-10-14,
36630,Kimagure Mercy,Finished Airing,G - All Ages,6.47,0,2022-03-11 20:04:19.539451,f,2016-06-03,
36631,Pandora Voxx Complete,Finished Airing,PG-13 - Teens 13 or older,,2,2022-03-11 20:04:19.642452,f,2013-03-27,
36632,Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,Finished Airing,PG-13 - Teens 13 or older,4.88,206,2022-03-11 20:04:19.749451,f,2018-10-10,2018-12-19
36633,Date A Live III,Finished Airing,R - 17+ (violence & profanity),7.17,1501,2022-03-11 20:04:19.89145,f,2019-01-11,2019-03-29
36636,Ankoku Cat VS,Finished Airing,G - All Ages,5.61,0,2022-03-11 20:04:19.990454,f,2011-01-21,2012-01-09
36637,Akashic Re:cords,Finished Airing,G - All Ages,6.46,9,2022-03-11 20:04:21.453305,f,2016-10-18,
36638,Tenkyuu no Arculs,Finished Airing,G - All Ages,5.47,0,2022-03-11 20:04:21.56731,f,2016-06-16,
36639,Shadowverse,Currently Airing,G - All Ages,5.86,1,2022-03-11 20:04:21.736353,t,2015-10-16,
36640,Mashiro Witch,Finished Airing,PG-13 - Teens 13 or older,5.65,1,2022-03-11 20:04:21.866354,f,2017-03-14,
36641,Grand Marche no Meikyuu,Finished Airing,G - All Ages,,0,2022-03-11 20:04:21.983355,f,2016-08-31,
36642,Kakusansei Million Arthur,Finished Airing,G - All Ages,5.38,0,2022-03-11 20:04:22.207368,f,2012-03-23,
36643,Kairisei Million Arthur,Finished Airing,G - All Ages,5.45,1,2022-03-11 20:04:22.320414,f,2014-11-18,2018-07-06
36644,Shaonian Jinyiwei,Finished Airing,PG-13 - Teens 13 or older,6.31,6,2022-03-11 20:04:22.434581,f,2017-02-09,2017-05-04
36646,Daitai 3-pun de Wakaru .hack History,Finished Airing,G - All Ages,5.81,1,2022-03-11 20:04:22.580635,f,2017-10-20,
36649,Banana Fish,Finished Airing,R - 17+ (violence & profanity),8.51,25161,2022-03-11 20:04:22.675634,f,2018-07-06,2018-12-21
36652,Piano no Mori (TV),Finished Airing,PG-13 - Teens 13 or older,7.31,360,2022-03-11 20:04:22.767631,f,2018-04-09,2018-07-02
36653,Tsurune: Kazemai Koukou Kyuudoubu,Finished Airing,PG-13 - Teens 13 or older,7.62,801,2022-03-11 20:04:22.933633,f,2018-10-22,2019-01-21
36654,Tsukumogami Kashimasu,Finished Airing,PG-13 - Teens 13 or older,6.69,7,2022-03-11 20:04:23.023644,f,2018-07-23,2018-10-15
36655,Souten no Ken: Regenesis,Finished Airing,R - 17+ (violence & profanity),5.67,17,2022-03-11 20:04:23.124644,f,2018-04-03,2018-06-19
36656,Stone Age Episode 0,Finished Airing,G - All Ages,,0,2022-03-11 20:04:23.294635,f,2017-05-02,
36657,Stone Age,Finished Airing,G - All Ages,,0,2022-03-11 20:04:23.389682,f,2017-07-12,2018-05-02
36661,Dahufa,Finished Airing,PG-13 - Teens 13 or older,6.66,2,2022-03-11 20:04:23.477207,f,2017-07-13,
36662,Naki no Ryuu: Hiryuu no Shou (1991),Finished Airing,PG-13 - Teens 13 or older,,1,2022-03-11 20:04:23.643243,f,1991-08-23,
36664,Matsumotokiyoshi x Osomatsu-san,Finished Airing,G - All Ages,5.63,1,2022-03-11 20:04:23.734237,f,2016-06-25,2017-12-18
36666,An Ling Yu Shi Di Qi,Finished Airing,G - All Ages,5.9,2,2022-03-11 20:04:23.833237,f,2017-03-27,2017-04-06
36667,Machibouke (2017),Finished Airing,G - All Ages,,0,2022-03-11 20:04:24.00524,f,2017-10-25,
36668,Senro wa Tsudzuku yo Dokomademo,Finished Airing,G - All Ages,,0,2022-03-11 20:04:24.100271,f,2017-10-25,
36669,Yadokari,Finished Airing,G - All Ages,5.17,0,2022-03-11 20:04:24.200269,f,2011-10-03,
36670,Hatoya,Finished Airing,G - All Ages,5.27,1,2022-03-11 20:04:24.353267,f,2012-03-28,
36671,Hayashi-fusai,Finished Airing,G - All Ages,,0,2022-03-11 20:04:24.437271,f,2013-05-03,
36672,Wanna Be a Tuna,Finished Airing,G - All Ages,5.48,0,2022-03-11 20:04:25.864309,f,2013-12-27,
36673,Nakano Harada Kekkon Kyousoukyoku,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.02731,f,2014-03-17,
36674,Shukka Fuufu,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.120307,f,2014-10-01,
36675,Hendo Garden,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.224307,f,2015-06-20,
36676,Naga Hamaraja,Finished Airing,G - All Ages,,1,2022-03-11 20:04:26.389308,f,2016-01-01,
36677,Shishido Journey,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.478317,f,2017-06-03,
36678,Kawawawawawada,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.560313,f,2016-01-01,
36679,Kekkonshiki no Tori Movie,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.703311,f,2010-01-01,
36680,Sayonara Nyuunanzai,Finished Airing,G - All Ages,,0,2022-03-11 20:04:26.794315,f,2017-10-25,
36683,Overlord Movie: Manner Movie,Finished Airing,G - All Ages,6.92,19,2022-03-11 20:04:26.884307,f,2017-02-25,
36684,Shining☆Romance,Finished Airing,G - All Ages,6.55,6,2022-03-11 20:04:27.027313,f,2017-11-15,
36685,Force Live,Finished Airing,G - All Ages,6.6,5,2022-03-11 20:04:27.13631,f,2017-11-15,
36686,Hifuu Katsudou Kiroku: The Sealed Esoteric History,Currently Airing,PG-13 - Teens 13 or older,7.22,34,2022-03-11 20:04:27.243307,t,2015-12-29,
36688,Shinmai Maou no Testament Departures,Finished Airing,R+ - Mild Nudity,6.92,129,2022-03-11 20:04:27.428639,f,2018-03-28,
36692,Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,Finished Airing,PG-13 - Teens 13 or older,6.89,3,2022-03-11 20:04:27.520631,f,2017-11-29,2018-02-28
36699,Kimitachi wa Dou Ikiru ka,Not yet aired,None,,3,2022-03-11 20:04:27.613649,f,,
36700,Yumearu Ugoku Ehon,Currently Airing,G - All Ages,,0,2022-03-11 20:04:27.778637,t,2015-03-19,
36701,Ari to Kaeru,Finished Airing,G - All Ages,,0,2022-03-11 20:04:27.865644,f,1935-09-16,
36702,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Finished Airing,R - 17+ (violence & profanity),7.78,76,2022-03-11 20:04:27.981636,f,2018-01-13,
36704,Free!: Dive to the Future,Finished Airing,PG-13 - Teens 13 or older,7.61,580,2022-03-11 20:04:28.131634,f,2018-07-12,2018-09-27
36705,Yuuwaku★Office Lover 2,Finished Airing,None,,2,2022-03-11 20:04:28.215635,f,2017-12-26,2018-03-06
36712,Mighty Thor: Battle Royale,Finished Airing,G - All Ages,5.09,2,2022-03-11 20:04:28.299634,f,2017-10-29,
36714,Hashire! Osomatsu-san,Finished Airing,PG-13 - Teens 13 or older,6.08,1,2022-03-11 20:04:28.451631,f,2016-10-01,2016-12-01
36715,Ponkotsu Quest x Digimon Story: Cyber Sleuth - Hacker's Memory,Finished Airing,G - All Ages,5.29,1,2022-03-11 20:04:28.531634,f,2017-10-31,
36716,Boku wa Mada 7-sai Datta,Finished Airing,G - All Ages,6.12,0,2022-03-11 20:04:28.619631,f,2016-05-09,
36718,Yakan Gakkou no Ura-sensei,Finished Airing,G - All Ages,4.95,0,2022-03-11 20:04:30.516393,f,2016-08-02,
36719,Pastel Kazoku,Finished Airing,G - All Ages,,0,2022-03-11 20:04:30.660391,f,2016-06-16,
36722,Shen Qi Huan Qi Tan,Finished Airing,PG-13 - Teens 13 or older,6.07,7,2022-03-11 20:04:30.74039,f,2017-10-31,2018-05-15
36724,Felix x Kamiusagi Rope,Currently Airing,G - All Ages,,0,2022-03-11 20:04:30.84139,t,2017-09-03,
36725,Naisho no Hanashi,Finished Airing,G - All Ages,6.18,0,2022-03-11 20:04:30.996389,f,2012-02-01,
36726,Yuragi-sou no Yuuna-san,Finished Airing,R+ - Mild Nudity,7.03,672,2022-03-11 20:04:31.094389,f,2018-07-14,2018-09-29
36727,Shimajirou Movie: Mahou no Shima no Daibouken,Finished Airing,G - All Ages,,0,2022-03-11 20:04:31.202392,f,2018-03-09,
36728,Mameneko,Finished Airing,PG - Children,6.05,1,2022-03-11 20:04:31.333395,f,2018-01-09,2018-03-27
36729,Fate/Apocrypha Recaps,Finished Airing,R - 17+ (violence & profanity),6.4,22,2022-03-11 20:04:31.427412,f,2017-09-24,2017-11-18
36730,Doraemon: Benkyou Heya no Tsuribori,Finished Airing,PG - Children,6.14,0,2022-03-11 20:04:31.512412,f,1979-10-03,
36731,Drive Agent Personal: Shiawase wo Mamoru Mono,Finished Airing,G - All Ages,5.88,0,2022-03-11 20:04:31.642413,f,2017-10-16,
36732,Qin Shi Ming Yue: Tian Xing Jiu Ge,Finished Airing,PG-13 - Teens 13 or older,7.03,9,2022-03-11 20:04:31.756415,f,2016-03-10,2018-07-05
